crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
sugarcane,2016-12-16,2016-12-31,2016-12_Q2,127.67,-0.758,-1.048,-0.851,-1.963,47.64,0.0,0.2367,76.33,28.2616,68.63,46.0569,314.99,41.5229,422.25,90.092,87.697,HIGH
sugarcane,2017-01-01,2017-01-15,2017-01_Q1,127.67,-0.106,-0.777,-0.563,-1.335,188.46,19.68,0.7059,29.41,60.4835,140.03,49.6644,314.99,46.0717,433.89,83.6824,85.8356,NOT_SUITABLE
sugarcane,2017-01-16,2017-01-31,2017-01_Q2,127.67,-0.603,-1.167,-1.208,-1.352,174.22,0.0,0.7174,28.26,67.0883,147.75,50.8175,296.93,47.0842,407.72,66.2498,75.0391,NOT_SUITABLE
sugarcane,2017-02-01,2017-02-15,2017-02_Q1,127.67,-0.891,-0.98,-1.037,-1.091,71.81,0.0,0.3952,60.48,79.1276,174.96,53.1298,282.22,47.5831,384.5,60.8153,74.2021,NOT_SUITABLE
sugarcane,2017-02-16,2017-02-28,2017-02_Q2,127.67,-1.181,-1.504,-1.828,-1.456,72.48,0.0,0.3291,67.09,44.6533,98.61,43.0716,205.87,47.2289,353.9,59.1604,71.8596,HIGH
sugarcane,2017-03-01,2017-03-15,2017-03_Q1,127.67,-1.034,-1.483,-1.725,-1.642,46.15,0.0,0.2087,79.13,0.0,0.0,26.4768,107.26,44.8281,315.83,55.6973,70.2375,HIGH
sugarcane,2017-03-16,2017-03-31,2017-03_Q2,127.67,0.747,-0.722,-1.313,-1.383,205.04,82.82,0.5535,44.65,35.3073,50.58,32.2113,107.26,57.8224,381.88,55.7028,70.131,NOT_SUITABLE
sugarcane,2017-04-01,2017-04-15,2017-04_Q1,127.67,1.139,-1.127,-1.339,-1.245,192.96,11.35,1.0,0.0,83.4878,107.26,38.6627,118.9,66.2179,447.98,46.0569,62.5652,NOT_SUITABLE
sugarcane,2017-04-16,2017-04-30,2017-04_Q2,127.67,-1.057,-0.914,-1.462,-1.335,9.86,0.0,0.6469,35.31,49.7719,56.68,39.3385,110.79,61.1234,423.09,49.6644,57.5325,NOT_SUITABLE
sugarcane,2017-05-01,2017-05-15,2017-05_Q1,127.67,-0.629,-0.74,-1.478,-1.39,9.86,0.0,0.1651,83.49,0.0,0.0,36.9415,102.28,63.0695,459.57,50.8175,55.9273,NOT_SUITABLE
sugarcane,2017-05-16,2017-05-31,2017-05_Q2,127.67,1.663,1.504,-0.865,-0.801,151.56,94.36,0.5023,49.77,0.0,0.0,54.5515,148.03,70.0678,536.29,53.1298,56.4189,NOT_SUITABLE
sugarcane,2017-06-01,2017-06-15,2017-06_Q1,127.67,2.038,1.56,-0.697,-0.861,163.71,68.67,1.0,0.0,13.8512,11.64,69.66,208.56,75.0321,640.51,43.0716,50.4146,NOT_SUITABLE
